avg power (W),avg resp time (ns),avg temperature (C),config,tasks
12.38,53546762,156.22,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-1
12.35,53689654,155.84,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-1
17.65,30716625,154.18,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2
21.52,23276649,152.89,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-3
12.40,53385792,156.44,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-1
12.36,53651218,156.06,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-1
17.69,30571268,154.98,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2
21.54,23238482,153.10,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-3
8.10,669901674,91.38,4.0GHz+maxFreq+slowDVFS,canneal-simsmall-1
8.38,606215132,91.79,4.0GHz+maxFreq+slowDVFS,canneal-simsmall-2
8.48,585776694,91.92,4.0GHz+maxFreq+slowDVFS,canneal-simsmall-3
11.98,242611505,139.60,4.0GHz+maxFreq+slowDVFS,streamcluster-simsmall-1
17.73,131160033,134.71,4.0GHz+maxFreq+slowDVFS,streamcluster-simsmall-2
23.18,93103871,132.95,4.0GHz+maxFreq+slowDVFS,streamcluster-simsmall-3
13.19,142187358,168.25,4.0GHz+maxFreq+slowDVFS,swaptions-simsmall-1
20.94,71572100,167.78,4.0GHz+maxFreq+slowDVFS,swaptions-simsmall-2
26.15,53403149,168.45,4.0GHz+maxFreq+slowDVFS,swaptions-simsmall-3
12.21,117504805,162.25,4.0GHz+maxFreq+slowDVFS,x264-simsmall-1
16.07,69223456,158.08,4.0GHz+maxFreq+slowDVFS,x264-simsmall-2
17.69,60369854,156.83,4.0GHz+maxFreq+slowDVFS,x264-simsmall-3
9.77,378621416,117.46,4.0GHz+maxFreq+slowDVFS,fluidanimate-simsmall-1
13.77,203355168,122.07,4.0GHz+maxFreq+slowDVFS,fluidanimate-simsmall-2
12.01,801040329,123.79,4.0GHz+maxFreq+slowDVFS,dedup-simsmall-1
13.33,170232064,178.64,4.0GHz+maxFreq+slowDVFS,bodytrack-simsmall-1
19.73,94052933,175.91,4.0GHz+maxFreq+slowDVFS,bodytrack-simsmall-2
9.60,576306641,100.85,4.0GHz+maxFreq+slowDVFS,barnes-small-1
13.69,291403074,101.28,4.0GHz+maxFreq+slowDVFS,barnes-small-2
17.51,199280075,101.49,4.0GHz+maxFreq+slowDVFS,barnes-small-3
21.25,152440903,101.35,4.0GHz+maxFreq+slowDVFS,barnes-small-4
14.35,86903646,177.91,4.0GHz+maxFreq+slowDVFS,cholesky-small-1
18.58,62456324,168.03,4.0GHz+maxFreq+slowDVFS,cholesky-small-2
22.88,63935163,171.41,4.0GHz+maxFreq+slowDVFS,cholesky-small-3
24.46,58312129,162.56,4.0GHz+maxFreq+slowDVFS,cholesky-small-4
21.24,152566320,101.25,4.0GHz+maxFreq+slowDVFS,barnes-small-4
12.35,33234470,161.77,4.0GHz+maxFreq+slowDVFS,fft-small-1
14.40,25638518,154.71,4.0GHz+maxFreq+slowDVFS,fft-small-2
16.40,262489277,247.15,4.0GHz+maxFreq+slowDVFS,fmm-small-1
26.58,136637878,243.84,4.0GHz+maxFreq+slowDVFS,fmm-small-2
35.82,95340617,240.33,4.0GHz+maxFreq+slowDVFS,fmm-small-3
44.37,74960538,236.88,4.0GHz+maxFreq+slowDVFS,fmm-small-4
19.28,30423088,273.54,4.0GHz+maxFreq+slowDVFS,lu.cont-small-1
29.49,17952975,257.57,4.0GHz+maxFreq+slowDVFS,lu.cont-small-2
37.77,13644508,245.84,4.0GHz+maxFreq+slowDVFS,lu.cont-small-3
44.25,11559025,236.61,4.0GHz+maxFreq+slowDVFS,lu.cont-small-4
18.82,28632329,267.52,4.0GHz+maxFreq+slowDVFS,lu.ncont-small-1
29.44,16315377,252.26,4.0GHz+maxFreq+slowDVFS,lu.ncont-small-2
37.63,12416764,235.04,4.0GHz+maxFreq+slowDVFS,lu.ncont-small-3
48.23,9631048,236.88,4.0GHz+maxFreq+slowDVFS,lu.ncont-small-4
12.42,53267076,156.37,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-1
21.50,23358358,152.98,4.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-3
